7697.9612	1
7697.9705	0.9994
7697.9797	0.9987
7697.989	0.9979
7697.9982	0.9975
7698.0074	0.998
7698.0167	0.9983
7698.0259	0.9976
7698.0352	0.9969
7698.0444	0.9968
7698.0536	0.9966
7698.0629	0.9966
7698.0721	0.9971
7698.0813	0.9975
7698.0906	0.9975
7698.0998	0.9974
7698.1091	0.9974
7698.1183	0.9983
7698.1275	0.999
7698.1368	0.9982
7698.146	0.998
7698.1552	0.9982
7698.1645	0.9981
7698.1737	0.9987
7698.183	0.9992
7698.1922	0.9994
7698.2014	0.9997
7698.2107	0.9992
7698.2199	0.9988
7698.2291	0.9992
7698.2384	1
7698.2476	1.0005
7698.2569	1
7698.2661	1.0008
7698.2753	1.004
7698.2846	1.0066
7698.2938	1.0074
7698.303	1.007
7698.3123	1.0063
7698.3215	1.0043
7698.3308	1.0019
7698.34	1.0007
7698.3492	0.9998
7698.3585	0.9988
7698.3677	0.9992
7698.377	0.999
7698.3862	0.9984
7698.3954	0.9982
7698.4047	0.998
7698.4139	0.9977
7698.4231	0.9978
7698.4324	0.9981
7698.4416	0.9976
7698.4509	0.9965
7698.4601	0.9969
7698.4693	0.9981
7698.4786	0.9981
7698.4878	0.9969
7698.497	0.9954
7698.5063	0.9946
7698.5155	0.9951
7698.5248	0.9956
7698.534	0.9952
7698.5432	0.9943
7698.5525	0.9935
7698.5617	0.9938
7698.571	0.994
7698.5802	0.9929
7698.5894	0.9921
7698.5987	0.9915
7698.6079	0.9901
7698.6171	0.9889
7698.6264	0.988
7698.6356	0.9878
7698.6449	0.9881
7698.6541	0.9872
7698.6633	0.9855
7698.6726	0.9838
7698.6818	0.9824
7698.6911	0.9808
7698.7003	0.9786
7698.7095	0.9763
7698.7188	0.9731
7698.728	0.969
7698.7372	0.9651
7698.7465	0.9606
7698.7557	0.9552
7698.765	0.9475
7698.7742	0.9364
7698.7834	0.9252
7698.7927	0.9129
7698.8019	0.8976
7698.8112	0.8788
7698.8204	0.8554
7698.8296	0.8263
7698.8389	0.7927
7698.8481	0.7499
7698.8573	0.709
7698.8666	0.6515
7698.8758	0.5963
7698.8851	0.5385
7698.8943	0.4794
7698.9035	0.4203
7698.9128	0.3639
7698.922	0.312
7698.9313	0.2694
7698.9405	0.238
7698.9497	0.2143
7698.959	0.1989
7698.9682	0.1933
7698.9774	0.1978
7698.9867	0.2115
7698.9959	0.2357
7699.0052	0.2705
7699.0144	0.3138
7699.0236	0.3721
7699.0329	0.435
7699.0421	0.498
7699.0514	0.5631
7699.0606	0.6253
7699.0698	0.6806
7699.0791	0.7303
7699.0883	0.7737
7699.0976	0.8134
7699.1068	0.8422
7699.116	0.871
7699.1253	0.892
7699.1345	0.9082
7699.1437	0.9235
7699.153	0.9351
7699.1622	0.9444
7699.1715	0.9524
7699.1807	0.9588
7699.1899	0.9642
7699.1992	0.9693
7699.2084	0.9735
7699.2177	0.9764
7699.2269	0.979
7699.2361	0.9815
7699.2454	0.9834
7699.2546	0.9848
7699.2639	0.9861
7699.2731	0.9869
7699.2823	0.9875
7699.2916	0.989
7699.3008	0.9909
7699.3101	0.9921
7699.3193	0.9916
7699.3285	0.9909
7699.3378	0.9914
7699.347	0.992
7699.3562	0.9926
7699.3655	0.9936
7699.3747	0.9935
7699.384	0.9928
7699.3932	0.9929
7699.4024	0.9934
7699.4117	0.9935
7699.4209	0.9935
7699.4302	0.994
7699.4394	0.9944
7699.4486	0.9948
7699.4579	0.9967
7699.4671	0.9978
7699.4764	0.9973
7699.4856	0.9986
7699.4948	0.9999
7699.5041	0.9981
7699.5133	0.9957
7699.5226	0.9962
7699.5318	0.9967
7699.541	0.9964
7699.5503	0.996
7699.5595	0.9963
7699.5688	0.9971
7699.578	0.9977
7699.5872	0.9972
7699.5965	0.9956
7699.6057	0.9942
7699.6149	0.9938
7699.6242	0.9937
7699.6334	0.9925
7699.6427	0.9919
7699.6519	0.9923
7699.6611	0.9922
7699.6704	0.9919
7699.6796	0.992
7699.6889	0.9925
7699.6981	0.9934
7699.7073	0.9944
7699.7166	0.9943
7699.7258	0.9943
7699.7351	0.995
7699.7443	0.996
7699.7535	0.9974
7699.7628	0.9987
7699.772	0.9989
7699.7813	0.9991
7699.7905	1
7699.7997	1.0004
7699.809	1.0004
7699.8182	1.0006
7699.8275	1.0005
7699.8367	1.0001
7699.8459	0.9999
7699.8552	1
7699.8644	1.0003
7699.8737	1.0008
7699.8829	1.0012
7699.8921	1.0007
7699.9014	1.0003
7699.9106	1.0005
7699.9199	1.0009
7699.9291	1.0009
7699.9383	1.0007
7699.9476	1.0007
7699.9568	1.001
7699.9661	1.0011
